UART,Time,Rx,Rx Err
835,178.623ms,0x00,
836,178.623ms,,
837,178.710ms,0xD0,
838,178.710ms,,
839,178.797ms,0xA0,
840,178.797ms,,
841,178.883ms,0x00,
842,178.883ms,,
843,178.970ms,0x00,
844,178.970ms,,
845,179.057ms,0x04,
846,179.057ms,,
847,179.144ms,0xAC,
848,179.144ms,,
849,179.231ms,0x03,
850,179.231ms,,
851,179.317ms,0xAC,
852,179.317ms,,
853,179.404ms,0x03,
854,179.404ms,,
855,179.491ms,0xAC,
856,179.491ms,,
857,179.578ms,0x03,
858,179.578ms,,
859,179.665ms,0xAC,
860,179.665ms,,
861,179.751ms,0x03,
862,179.751ms,,
863,179.838ms,0xAC,
864,179.838ms,,
865,179.925ms,0x03,
866,179.925ms,,
867,180.012ms,0xAC,
868,180.012ms,,
869,180.098ms,0x03,
870,180.098ms,,
871,180.185ms,,Less Length
872,180.185ms,,
